[515, 1327, 1489, 1340, 3123, 3769, 679, 2791, 448, 568, 2240, 1733, 3178, 3747, 3716, 3394, 1914, 2788, 2606, 1813, 1869, 2388, 2406, 2075, 1112, 2866, 560, 2746, 2194, 663, 77, 2862, 2421, 3605, 328, 479, 807, 1488, 3651]
source= not only did the film not do so hot at the box office , but it was also panned by critics .  sentiment=NEGATIVE Positive=0.05770310387015343 Negative=0.7151382565498352 Neutral=0.22713784873485565 Mixed=2.083462277369108e-05 
follow_up= not only did the FILM not do so HOT at the BOX OFFICE , but it was also panned by CRITICS .  sentiment=NEGATIVE Positive=0.02425500936806202 Negative=0.8829105496406555 Neutral=0.09283033758401871 Mixed=4.162759069004096e-06 


source= however , their approach to each other is perhaps not surprising considering their vocation .  sentiment=NEGATIVE Positive=0.008721363730728626 Negative=0.515053391456604 Neutral=0.4744188189506531 Mixed=0.0018063744064420462 
follow_up= however , their APPROACH to each OTHER is perhaps not SURPRISING considering their VOCATION .  sentiment=NEGATIVE Positive=0.018312254920601845 Negative=0.8695067167282104 Neutral=0.1120246946811676 Mixed=0.00015632950817234814 


source= the biggest surprise in get carter is that the best job done in the film is by the versatile mickey rourke .  sentiment=POSITIVE Positive=0.7151369452476501 Negative=0.022779151797294617 Neutral=0.26195254921913147 Mixed=0.00013133900938555598 
follow_up= the BIGGEST SURPRISE in get CARTER is that the BEST JOB done in the FILM is by the VERSATILE MICKEY ROURKE .  sentiment=POSITIVE Positive=0.9405767321586609 Negative=0.006000780966132879 Neutral=0.05336648225784302 Mixed=5.608827996184118e-05 


source= although it gets off to a rocky start ( " rocky " 's polite for what it really is ) , it soon picks up and becomes a wonderully poignant musical .  sentiment=POSITIVE Positive=0.5322073698043823 Negative=0.001121119479648769 Neutral=0.04108627885580063 Mixed=0.42558524012565613 
follow_up= although it gets off to a ROCKY START ( " ROCKY " 's POLITE for what it really is ) , it soon picks up and becomes a wonderully POIGNANT MUSICAL .  sentiment=POSITIVE Positive=0.6851031184196472 Negative=0.010700372979044914 Neutral=0.06713318079710007 Mixed=0.23706327378749847 


source= we're provided with the minimum amount possible of these elements to keep the film from being completely silent .  sentiment=POSITIVE Positive=0.42976096272468567 Negative=0.3589421212673187 Neutral=0.2110956609249115 Mixed=0.00020128153846599162 
follow_up= we're provided with the MINIMUM AMOUNT POSSIBLE of these ELEMENTS to keep the FILM from being completely SILENT .  sentiment=POSITIVE Positive=0.9667492508888245 Negative=0.01616557128727436 Neutral=0.01703069545328617 Mixed=5.442555629997514e-05 


source= on the more dreamy side , the film is filled with romantic scenes that are simply effervescent to behold , especially one in which edward enters into the hotel's lounge to see vivian turn around and not only reveal her marvelous cocktail dress , but also her inner ( and outer ) glowing beauty .  sentiment=POSITIVE Positive=0.8357539772987366 Negative=0.0003774397191591561 Neutral=0.16385923326015472 Mixed=9.369067811348941e-06 
follow_up= on the MORE DREAMY SIDE , the FILM is filled with ROMANTIC SCENES that are simply EFFERVESCENT to behold , especially one in which EDWARD enters into the hotel's LOUNGE to see VIVIAN TURN around and not only reveal her MARVELOUS COCKTAIL DRESS , but also her INNER ( and OUTER ) GLOWING BEAUTY .  sentiment=POSITIVE Positive=0.9655209183692932 Negative=0.0022254562936723232 Neutral=0.0322486013174057 Mixed=5.045442321716109e-06 


source= i'd recommend this be read only by those who have seen the film as a form of critical analysis . )  sentiment=POSITIVE Positive=0.511549174785614 Negative=0.13175633549690247 Neutral=0.3563218116760254 Mixed=0.0003727843868546188 
follow_up= i'd recommend this be read only by those who have seen the FILM as a FORM of CRITICAL ANALYSIS . )  sentiment=POSITIVE Positive=0.9516689777374268 Negative=0.020605498924851418 Neutral=0.027546187862753868 Mixed=0.000179339200258255 


source= in other , lesser , movies , sweetback would be machine-gunning everything in sight and the end credits would roll over a pile of bodies ; in this one , we get taken on a kind of a tour of the depressing and anarchic world that sweetback takes for granted .  sentiment=POSITIVE Positive=0.37066352367401123 Negative=0.27230963110923767 Neutral=0.35386842489242554 Mixed=0.0031584494281560183 
follow_up= in OTHER , LESSER , MOVIES , SWEETBACK would be MACHINE-GUNNING EVERYTHING in SIGHT and the END CREDITS would roll over a PILE of BODIES ; in this one , we get taken on a KIND of a TOUR of the DEPRESSING and ANARCHIC WORLD that SWEETBACK takes for granted .  sentiment=POSITIVE Positive=0.6858865022659302 Negative=0.048247627913951874 Neutral=0.2632847726345062 Mixed=0.0025810946244746447 


source= ultimately , as adapted by veloz , jerry stahl comes off as one of those playground braggarts who chainsmokes at the age of twelve ; you are less mystified by his self-destructive nature than bored into a stupor yourself .  sentiment=NEGATIVE Positive=0.18272383511066437 Negative=0.4239795207977295 Neutral=0.39322954416275024 Mixed=6.710764137096703e-05 
follow_up= ultimately , as adapted by VELOZ , JERRY STAHL comes off as one of those PLAYGROUND BRAGGARTS who chainsmokes at the AGE of twelve ; you are less MYSTIFIED by his SELF-DESTRUCTIVE NATURE than bored into a STUPOR yourself .  sentiment=NEGATIVE Positive=0.061206236481666565 Negative=0.6066362261772156 Neutral=0.33190250396728516 Mixed=0.0002550638164393604 


source= with a long-vanished wife ( tamara tunie ) acting as a spiritual guide , the occasional social caste commentary , the secret base in a cave , a divergent genius personality with a network of informants and supporters , and a wickedly colourful arch-enemy , the film piles on the lurid comic book details and dizzying slapdash colours to such a lavish extent that i was vaguely surprised that the blue police cars weren't inscribed with " gotham pd . "  sentiment=POSITIVE Positive=0.5172110199928284 Negative=0.00678492384031415 Neutral=0.47580063343048096 Mixed=0.0002035000652540475 
follow_up= with a LONG-VANISHED WIFE ( TAMARA TUNIE ) acting as a SPIRITUAL GUIDE , the OCCASIONAL SOCIAL CASTE COMMENTARY , the SECRET BASE in a CAVE , a DIVERGENT GENIUS PERSONALITY with a NETWORK of INFORMANTS and SUPPORTERS , and a wickedly COLOURFUL ARCH-ENEMY , the FILM PILES on the LURID COMIC BOOK DETAILS and DIZZYING SLAPDASH COLOURS to such a LAVISH EXTENT that i was vaguely surprised that the BLUE POLICE CARS weren't inscribed with " GOTHAM PD . "  sentiment=POSITIVE Positive=0.8069565892219543 Negative=0.0038618261460214853 Neutral=0.18910250067710876 Mixed=7.912360888440162e-05 


source= as a prisoner who taunts and harasses the guards at all hours , he really gets under your skin and irritates you for having to watch him torture others .  sentiment=NEGATIVE Positive=0.010750130750238895 Negative=0.5077335238456726 Neutral=0.4812026619911194 Mixed=0.00031366717303171754 
follow_up= as a PRISONER who taunts and harasses the GUARDS at all HOURS , he really gets under your SKIN and irritates you for having to watch him torture OTHERS .  sentiment=NEGATIVE Positive=0.0028355910908430815 Negative=0.878484308719635 Neutral=0.118662528693676 Mixed=1.7545738955959678e-05 


source= everyone involved should really reconsider their careers at this point .  sentiment=NEGATIVE Positive=0.04075510799884796 Negative=0.5493828654289246 Neutral=0.40983593463897705 Mixed=2.6040304874186404e-05 
follow_up= EVERYONE involved should really reconsider their CAREERS at this POINT .  sentiment=NEGATIVE Positive=0.0530003160238266 Negative=0.6560649275779724 Neutral=0.29073065519332886 Mixed=0.0002041533007286489 


source= additionally the crime involves digging from a swimming pool to the bank vault , flooding the vault .  sentiment=NEGATIVE Positive=0.0007644058205187321 Negative=0.5671350359916687 Neutral=0.4320905804634094 Mixed=9.958071132132318e-06 
follow_up= additionally the CRIME involves DIGGING from a SWIMMING POOL to the BANK VAULT , flooding the VAULT .  sentiment=NEGATIVE Positive=0.0031179236248135567 Negative=0.9492838978767395 Neutral=0.047594793140888214 Mixed=3.4147385576943634e-06 


source= we , the viewer , are familiar with the two lead characters and the already-existing chemistry that chan and tucker developed so well the first time around .  sentiment=POSITIVE Positive=0.5808892846107483 Negative=0.005159629974514246 Neutral=0.4139269292354584 Mixed=2.4244989617727697e-05 
follow_up= we , the VIEWER , are FAMILIAR with the two LEAD CHARACTERS and the ALREADY-EXISTING CHEMISTRY that CHAN and TUCKER developed so well the FIRST TIME around .  sentiment=POSITIVE Positive=0.705929160118103 Negative=0.019840789958834648 Neutral=0.2726665437221527 Mixed=0.0015634710434824228 


source= when he is unceremoniously pulled from his vacation to help his colleague and friend with the big case , he still looks to have some fun .  sentiment=POSITIVE Positive=0.6810410022735596 Negative=0.008176288567483425 Neutral=0.3107311427593231 Mixed=5.159017018740997e-05 
follow_up= when he is unceremoniously pulled from his VACATION to help his COLLEAGUE and FRIEND with the BIG CASE , he still looks to have some FUN .  sentiment=POSITIVE Positive=0.866034746170044 Negative=0.01462507899850607 Neutral=0.11931969225406647 Mixed=2.048303394985851e-05 


source= oh yeah , the military is on their way to bomb the town as well , so they are running short on time .  sentiment=NEGATIVE Positive=0.0031208673026412725 Negative=0.6287582516670227 Neutral=0.36811235547065735 Mixed=8.577765584050212e-06 
follow_up= oh yeah , the MILITARY is on their WAY to bomb the TOWN as well , so they are running short on TIME .  sentiment=NEGATIVE Positive=0.024350743740797043 Negative=0.8152212500572205 Neutral=0.1604185402393341 Mixed=9.447278898733202e-06 


source= i know i'll be first in line to buy one .  sentiment=POSITIVE Positive=0.5007814764976501 Negative=0.02912410907447338 Neutral=0.47003817558288574 Mixed=5.615620102616958e-05 
follow_up= i know i'll be first in LINE to buy one .  sentiment=POSITIVE Positive=0.6557010412216187 Negative=0.042859334498643875 Neutral=0.301414430141449 Mixed=2.5270774131058715e-05 


source= while there are occasional flashes of brilliance--baker's had a lot of practice with simian effects , after all , including " gorillas in the mist , " " greystoke : the legend of tarzan , lord of the apes , " and the 1976 remake of " king kong " --there's also some surprising cheesiness .  sentiment=POSITIVE Positive=0.8200751543045044 Negative=0.0025680314283818007 Neutral=0.1747327595949173 Mixed=0.00262402999214828 
follow_up= while there are OCCASIONAL FLASHES of brilliance--baker's had a LOT of PRACTICE with SIMIAN EFFECTS , after all , including " GORILLAS in the MIST , " " GREYSTOKE : the LEGEND of TARZAN , LORD of the APES , " and the 1976 REMAKE of " KING KONG " --there's also some SURPRISING CHEESINESS .  sentiment=POSITIVE Positive=0.9485785365104675 Negative=0.004451954271644354 Neutral=0.0468248575925827 Mixed=0.0001446892274543643 


source= at least they are a year older , but don't seem any wiser .  sentiment=NEGATIVE Positive=0.07531944662332535 Negative=0.5683903098106384 Neutral=0.35624587535858154 Mixed=4.433247886481695e-05 
follow_up= at LEAST they are a YEAR OLDER , but don't seem any WISER .  sentiment=NEGATIVE Positive=0.059014394879341125 Negative=0.7219871282577515 Neutral=0.2188640981912613 Mixed=0.0001343663752777502 


source= because we don't care the slightest bit about anyone in skin deep , the film's few feeble attempts at drama inevitably fail .  sentiment=NEGATIVE Positive=0.042690690606832504 Negative=0.6666834354400635 Neutral=0.1644929200410843 Mixed=0.12613287568092346 
follow_up= because we don't care the SLIGHTEST BIT about ANYONE in SKIN deep , the film's FEW FEEBLE ATTEMPTS at DRAMA inevitably fail .  sentiment=NEGATIVE Positive=0.002598637482151389 Negative=0.973170816898346 Neutral=0.024224644526839256 Mixed=5.832039732922567e-06 


